field,raw_value,canonical_value
AIRPORT_ID,KBGM,KBGM
AIRPORT_ID,KYKM,KYKM
AIRPORT_ID,KIAG,KIAG
AIRPORT_ID,KGRB,KGRB
AIRPORT_ID,KMSP,KMSP
AIRPORT_ID,W91,W91
AIRPORT_ID,KLSE,KLSE
AIRPORT_ID,KOXR,KOXR
AIRPORT_ID,KHRL,KHRL
AIRPORT_ID,KPIE,KPIE
AIRPORT_ID,KSHV,KSHV
AIRPORT_ID,KSWF,KSWF
AIRPORT_ID,KBED,KBED
AIRPORT_ID,KSTL,KSTL
AIRPORT_ID,KVUO,KVUO
AIRPORT_ID,PHOG,PHOG
AIRPORT_ID,KFAY,KFAY
AIRPORT_ID,KEWB,KEWB
AIRPORT_ID,PHTO,PHTO
AIRPORT_ID,KSBN,KSBN
AIRPORT_ID,KHGR,KHGR
AIRPORT_ID,KDHN,KDHN
AIRPORT_ID,KILM,KILM
AIRPORT_ID,KMFR,KMFR
AIRPORT_ID,PADU,PADU
AIRPORT_ID,KMKT,KMKT
AIRPORT_ID,KSPW,KSPW
AIRPORT_ID,PAFA,PAFA
AIRPORT_ID,KACT,KACT
AIRPORT_ID,KCAE,KCAE
AIRPORT_ID,KCID,KCID
AIRPORT_ID,KPWM,KPWM
AIRPORT_ID,KDEN*,KDEN*
AIRPORT_ID,KADS,KADS
AIRPORT_ID,PAKN,PAKN
AIRPORT_ID,CYOW,CYOW
AIRPORT_ID,KPHF,KPHF
AIRPORT_ID,KMYV,KMYV
AIRPORT_ID,KCCR,KCCR
AIRPORT_ID,KNEW,KNEW
AIRPORT_ID,KJAX,KJAX
AIRPORT_ID,KAPF,KAPF
AIRPORT_ID,KMKC,KMKC
AIRPORT_ID,KCYS,KCYS
AIRPORT_ID,KMRY,KMRY
AIRPORT_ID,KLEB,KLEB
AIRPORT_ID,KARR,KARR
AIRPORT_ID,KABY,KABY
AIRPORT_ID,KHWO,KHWO
AIRPORT_ID,KMSN,KMSN
AIRPORT_ID,KELM,KELM
AIRPORT_ID,KABR,KABR
AIRPORT_ID,KFLD,KFLD
AIRPORT_ID,KSBA,KSBA
AIRPORT_ID,KUGN,KUGN
AIRPORT_ID,KLBB,KLBB
AIRPORT_ID,KCHS,KCHS
AIRPORT_ID,KLCH,KLCH
AIRPORT_ID,KGNV,KGNV
AIRPORT_ID,PANC,PANC
AIRPORT_ID,KEYW,KEYW
AIRPORT_ID,KSAV,KSAV
AIRPORT_ID,KBYI,KBYI
AIRPORT_ID,KLAF,KLAF
AIRPORT_ID,TLPL,TLPL
AIRPORT_ID,MMGL,MMGL
AIRPORT_ID,KGAS,KGAS
AIRPORT_ID,KOPF,KOPF
AIRPORT_ID,KTOL,KTOL
AIRPORT_ID,KRAP,KRAP
AIRPORT_ID,KMBS,KMBS
AIRPORT_ID,KCRP,KCRP
AIRPORT_ID,KGTF,KGTF
AIRPORT_ID,KFLO,KFLO
AIRPORT_ID,KPSC,KPSC
AIRPORT_ID,KFNL,KFNL
AIRPORT_ID,PAJN,PAJN
AIRPORT_ID,KPSP,KPSP
AIRPORT_ID,KSTS,KSTS
AIRPORT_ID,KARB,KARB
AIRPORT_ID,KBAF,KBAF
AIRPORT_ID,KMLU,KMLU
AIRPORT_ID,KICT,KICT
AIRPORT_ID,PHNY,PHNY
AIRPORT_ID,KGPT,KGPT
AIRPORT_ID,W78,W78
AIRPORT_ID,KVRB,KVRB
AIRPORT_ID,PAKT,PAKT
AIRPORT_ID,KTCL,KTCL
AIRPORT_ID,KBRD,KBRD
AIRPORT_ID,PAWG,PAWG
AIRPORT_ID,KTVL,KTVL
AIRPORT_ID,PAOT,PAOT
AIRPORT_ID,KHUM,KHUM
AIRPORT_ID,KPUB,KPUB
AIRPORT_ID,KRIC,KRIC
AIRPORT_ID,KDPA,KDPA
AIRPORT_ID,KMEI,KMEI
AIRPORT_ID,KHPN,KHPN
AIRPORT_ID,KECG,KECG
AIRPORT_ID,KCRG,KCRG
AIRPORT_ID,KCAK,KCAK
AIRPORT_ID,KAMA,KAMA
AIRPORT_ID,KRDG,KRDG
AIRPORT_ID,KBPT,KBPT
AIRPORT_ID,KLUK,KLUK
AIRPORT_ID,3CK,3CK
AIRPORT_ID,KHEF,KHEF
AIRPORT_ID,KOGD,KOGD
AIRPORT_ID,KMOT,KMOT
