SPECIES,WILDLIFE_TYPE,records
Hawaiian goose,Bird,10
Black francolin,Other wildlife,10
Hares,Terrestrial mammal,10
Swallow-tailed kite,Bird,10
Pronghorn,Other wildlife,10
Tropicbirds,Bird,10
New World quail,Other wildlife,10
Antillean nighthawk,Bird,10
Saffron finch,Other wildlife,10
Willow ptarmigan,Other wildlife,10
Cassin's sparrow,Bird,9
Black phoebe,Other wildlife,9
"Crows, ravens",Other wildlife,9
Smith's longspur,Other wildlife,9
Blue-winged/cinnamon/green-winged teal complex,Other wildlife,9
Lesser black-backed gull,Bird,9
Cassin's vireo,Other wildlife,9
Glossy ibis,Other wildlife,9
Harris's sparrow,Bird,9
Yellow-billed magpie,Other wildlife,9
Nelson's sparrow,Bird,9
Pelicans,Bird,9
Red-vented bulbul,Other wildlife,8
Lined snake,Reptile,8
Noddies,Other wildlife,8
White-winged scoter,Other wildlife,8
Sage thrasher,Other wildlife,8
"Kites, eagles, hawks",Bird,8
Black swift,Other wildlife,8
Gray francolin,Other wildlife,8
American badger,Other wildlife,8
Gull-billed tern,Bird,8
Hermit warbler,Other wildlife,8
Ibises,Other wildlife,8
Black-chinned hummingbird,Bird,8
Black-footed albatross,Bat,8
Hudsonian godwit,Other wildlife,8
Baird's sparrow,Bird,8
Pallas's mastiff bat,Bat,8
Long-tailed duck,Bird,8
Southern lapwing,Other wildlife,8
Sooty tern,Bird,8
Connecticut warbler,Other wildlife,8
Thick-billed longspur,Other wildlife,8
Eagles,Bird,8
Dusky flycatcher,Terrestrial mammal,8
Mountain chickadee,Other wildlife,8
Snowy plover,Other wildlife,8
Swine (pigs),Other wildlife,8
Least bittern,Bird,7
Cactus wren,Other wildlife,7
American mink,Other wildlife,7
Richardson's ground squirrel,Terrestrial mammal,7
Wilson's plover,Other wildlife,7
Common eider,Other wildlife,7
Greater roadrunner,Other wildlife,7
Red-necked grebe,Other wildlife,7
Eurasian kestrel,Other wildlife,7
Nanday parakeet,Other wildlife,7
Prothonotary warbler,Other wildlife,7
Western mastiff bat,Bat,7
Bell's sparrow,Bird,7
Common chaffinch,Other wildlife,7
Hooded oriole,Other wildlife,7
Vireos,Other wildlife,7
Eastern screech-owl,Bird,7
Olive-sided flycatcher,Terrestrial mammal,7
Long-tailed jaeger,Other wildlife,7
Purple gallinule,Other wildlife,7
Red-crested cardinal,Other wildlife,7
Sandwich tern,Bird,6
Canids,Other wildlife,6
African silverbill,Other wildlife,6
