model,feature_set,params,mean_pr_auc,std_pr_auc,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_balanced_accuracy,std_balanced_accuracy,mean_roc_auc,std_roc_auc,mean_brier,std_brier,mean_log_loss,std_log_loss
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""none""}",0.5412169637466784,0.033471673355616426,0.5918785032700388,0.05167792508598814,0.28948104753090353,0.08006709870807645,0.3839978874065236,0.0791522405794231,0.5975437476063515,0.029531244069416186,0.7194249248081909,0.014445130158368284,0.19177136978159032,0.010209451018112907,0.566153343945075,0.023711958005897996
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 1.0, ""sample_weight_mode"": ""none""}",0.5412146768756374,0.03291320860529029,0.5777676937411043,0.057140425951371185,0.3337229658584614,0.08995868762492187,0.4174840497856338,0.08003485018998213,0.6089874815413293,0.031024202283059233,0.7144300294829444,0.01574593730449934,0.1924779228460391,0.010586008106924893,0.5673779117123395,0.025190621048099313
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""none""}",0.5411933840347818,0.02967954914546662,0.5822372212804006,0.04076993725710068,0.35374741903534557,0.07643416263473393,0.4361124809003563,0.06318124538655853,0.6163562785066339,0.026447803726416304,0.7175770416157857,0.01570060451596991,0.1918073909548404,0.011460912202660458,0.5656687355220515,0.028111840178049987
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""none""}",0.5411433051509761,0.036179162591141414,0.5595412971010341,0.07467548089605242,0.30932115815815125,0.0936327139323298,0.3936626411044679,0.09258481843464002,0.5981157815818263,0.03655549841066128,0.7167390130352487,0.01656528365946795,0.19189345712341704,0.010735639334274181,0.5659041696647569,0.02523381261083548
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 1.0, ""sample_weight_mode"": ""none""}",0.5410298121640026,0.0313429422714968,0.5708654560310948,0.054277171069592865,0.3504385872034826,0.0713139925134835,0.43044869926745993,0.059352262855555116,0.6121989328779882,0.02357177333932782,0.7157209420904657,0.015603942735994244,0.19264318564216898,0.010628322559564567,0.5676548138815474,0.026684244674838497
xgboost,extended_geographic,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 1.0, ""sample_weight_mode"": ""none""}",0.5409608512208696,0.0320057713724758,0.5730700344290487,0.06391495644648519,0.32451723799208687,0.08376821432950383,0.4091032628914217,0.07571775771608133,0.6047363616987814,0.028821835144495704,0.7150668440419553,0.01564607851036196,0.19224609769149165,0.01053349537124218,0.5669502383053449,0.025075834749701032
xgboost,airport_aware,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""none""}",0.5409597277781636,0.03201625207119094,0.5863724001378814,0.04574616944170792,0.3405939343138282,0.08369240522501555,0.426297650772013,0.07372077490203179,0.6132343894396804,0.03028454509545658,0.7172168059278186,0.0182240431878532,0.19203928712060975,0.01149904876674944,0.5661859157835017,0.0279888809435967
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""none""}",0.5409183297562186,0.029541426837620812,0.5760622743770625,0.043573812715157895,0.3435198252125427,0.07535253589222207,0.4259893904393427,0.062463410648817795,0.6111617313719918,0.02416584771575902,0.7167543892233756,0.017676615045922082,0.1921680569103889,0.011886233954782603,0.5664884347948373,0.028829930581760265
xgboost,airport_aware,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 600, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""none""}",0.540844676416263,0.033633547051332265,0.5770068777321152,0.05240972323551373,0.3224851411192108,0.08468116134138115,0.4085323998762374,0.07708868976315231,0.6050619949995375,0.028838150966332424,0.7162837013180036,0.018727060374049462,0.1920275198835099,0.0111358257118163,0.5661753704798081,0.026553867611374272
xgboost,extended_geographic,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""sample_weight_mode"": ""balanced""}",0.5408434079743901,0.030185661518006272,0.49654077307130146,0.03068897987473666,0.6150282280080441,0.04180586434818164,0.5483353724606358,0.021460136388838442,0.6578174910629069,0.0210916481902309,0.7166274425394193,0.016763817518218205,0.20919024827129928,0.006965966652184062,0.6060145236256462,0.01616855885457068
