candidate,target,model_family,feature_set,best_params,artifact,file_size_mb
PROPELLER_DAMAGE__logistic__extended_geographic,PROPELLER_DAMAGE,logistic,extended_geographic,"{""model__C"": 0.2642655549805391, ""model__class_weight"": null, ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\propeller_damage__logistic__extended_geographic__uncalibrated.joblib,0.011958122253417969
PROPELLER_DAMAGE__random_forest__airport_aware,PROPELLER_DAMAGE,random_forest,airport_aware,"{""model__class_weight"": null, ""model__max_depth"": 18, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__min_samples_split"": 8, ""model__n_estimators"": 270}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\propeller_damage__random_forest__airport_aware__uncalibrated.joblib,12.228683471679688
PROPELLER_DAMAGE__random_forest__extended_geographic,PROPELLER_DAMAGE,random_forest,extended_geographic,"{""model__class_weight"": null, ""model__max_depth"": 18, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 3, ""model__min_samples_split"": 8, ""model__n_estimators"": 580}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\propeller_damage__random_forest__extended_geographic__uncalibrated.joblib,24.530109405517578
PROPELLER_DAMAGE__xgboost__airport_aware,PROPELLER_DAMAGE,xgboost,airport_aware,"{""model__colsample_bytree"": 0.9029132901220702, ""model__gamma"": 0.003533152609858703, ""model__learning_rate"": 0.020951302649963185, ""model__max_depth"": 5, ""model__min_child_weight"": 3, ""model__n_estimators"": 419, ""model__reg_alpha"": 0.00015369603110608848, ""model__reg_lambda"": 9.243897959491427, ""model__scale_pos_weight"": 4.0, ""model__subsample"": 0.864017496054259}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\propeller_damage__xgboost__airport_aware__uncalibrated.joblib,0.6997585296630859
PROPELLER_DAMAGE__xgboost__extended_geographic,PROPELLER_DAMAGE,xgboost,extended_geographic,"{""model__colsample_bytree"": 0.9029132901220702, ""model__gamma"": 0.003533152609858703, ""model__learning_rate"": 0.020951302649963185, ""model__max_depth"": 5, ""model__min_child_weight"": 3, ""model__n_estimators"": 419, ""model__reg_alpha"": 0.00015369603110608848, ""model__reg_lambda"": 9.243897959491427, ""model__scale_pos_weight"": 4.0, ""model__subsample"": 0.864017496054259}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\propeller_damage__xgboost__extended_geographic__uncalibrated.joblib,0.6646127700805664
TAIL_DAMAGE__logistic__airport_aware,TAIL_DAMAGE,logistic,airport_aware,"{""model__C"": 0.04203965712872512, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\tail_damage__logistic__airport_aware__uncalibrated.joblib,0.05093955993652344
TAIL_DAMAGE__logistic__extended_geographic,TAIL_DAMAGE,logistic,extended_geographic,"{""model__C"": 0.03381064360280394, ""model__class_weight"": ""balanced"", ""model__penalty"": ""l2"", ""model__solver"": ""saga""}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\tail_damage__logistic__extended_geographic__uncalibrated.joblib,0.011957168579101562
TAIL_DAMAGE__random_forest__airport_aware,TAIL_DAMAGE,random_forest,airport_aware,"{""model__class_weight"": null, ""model__max_depth"": 18, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 3, ""model__min_samples_split"": 8, ""model__n_estimators"": 580}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\tail_damage__random_forest__airport_aware__uncalibrated.joblib,32.894572257995605
TAIL_DAMAGE__random_forest__extended_geographic,TAIL_DAMAGE,random_forest,extended_geographic,"{""model__class_weight"": null, ""model__max_depth"": 18, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 10, ""model__n_estimators"": 565}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\tail_damage__random_forest__extended_geographic__uncalibrated.joblib,34.007338523864746
TAIL_DAMAGE__xgboost__airport_aware,TAIL_DAMAGE,xgboost,airport_aware,"{""model__colsample_bytree"": 0.8487203795438925, ""model__gamma"": 0.14674408735901906, ""model__learning_rate"": 0.020575514470072775, ""model__max_depth"": 5, ""model__min_child_weight"": 1, ""model__n_estimators"": 641, ""model__reg_alpha"": 0.08241925264876443, ""model__reg_lambda"": 5.039829683935365, ""model__scale_pos_weight"": 1.0, ""model__subsample"": 0.9815752196283373}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\tail_damage__xgboost__airport_aware__uncalibrated.joblib,1.1605024337768555
TAIL_DAMAGE__xgboost__extended_geographic,TAIL_DAMAGE,xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8487203795438925, ""model__gamma"": 0.14674408735901906, ""model__learning_rate"": 0.020575514470072775, ""model__max_depth"": 5, ""model__min_child_weight"": 1, ""model__n_estimators"": 641, ""model__reg_alpha"": 0.08241925264876443, ""model__reg_lambda"": 5.039829683935365, ""model__scale_pos_weight"": 1.0, ""model__subsample"": 0.9815752196283373}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\tail_damage__xgboost__extended_geographic__uncalibrated.joblib,1.1806087493896484
WING_ROTOR_DAMAGE__logistic__airport_aware,WING_ROTOR_DAMAGE,logistic,airport_aware,"{""model__C"": 0.08626678238646635, ""model__class_weight"": null, ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\wing_rotor_damage__logistic__airport_aware__uncalibrated.joblib,0.05092620849609375
WING_ROTOR_DAMAGE__logistic__extended_geographic,WING_ROTOR_DAMAGE,logistic,extended_geographic,"{""model__C"": 0.07425699434260344, ""model__class_weight"": null, ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\wing_rotor_damage__logistic__extended_geographic__uncalibrated.joblib,0.011959075927734375
WING_ROTOR_DAMAGE__random_forest__airport_aware,WING_ROTOR_DAMAGE,random_forest,airport_aware,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 12, ""model__n_estimators"": 308}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\wing_rotor_damage__random_forest__airport_aware__uncalibrated.joblib,10.821354866027832
WING_ROTOR_DAMAGE__random_forest__extended_geographic,WING_ROTOR_DAMAGE,random_forest,extended_geographic,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 12, ""model__n_estimators"": 308}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\wing_rotor_damage__random_forest__extended_geographic__uncalibrated.joblib,11.870781898498535
WING_ROTOR_DAMAGE__xgboost__airport_aware,WING_ROTOR_DAMAGE,xgboost,airport_aware,"{""model__colsample_bytree"": 0.8796976554358416, ""model__gamma"": 0.3515094794475889, ""model__learning_rate"": 0.041612918409360634, ""model__max_depth"": 3, ""model__min_child_weight"": 2, ""model__n_estimators"": 301, ""model__reg_alpha"": 0.0009716374629919691, ""model__reg_lambda"": 4.026083236728187, ""model__scale_pos_weight"": 4.0, ""model__subsample"": 0.8252195774541924}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\wing_rotor_damage__xgboost__airport_aware__uncalibrated.joblib,0.38399696350097656
WING_ROTOR_DAMAGE__xgboost__extended_geographic,WING_ROTOR_DAMAGE,xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8796976554358416, ""model__gamma"": 0.3515094794475889, ""model__learning_rate"": 0.041612918409360634, ""model__max_depth"": 3, ""model__min_child_weight"": 2, ""model__n_estimators"": 301, ""model__reg_alpha"": 0.0009716374629919691, ""model__reg_lambda"": 4.026083236728187, ""model__scale_pos_weight"": 4.0, ""model__subsample"": 0.8252195774541924}",c:\Users\davis\Programing\MDA_programs\Capstone\faa-wildlife-strike-damage-analysis\models\candidates\08_component_modelling\wing_rotor_damage__xgboost__extended_geographic__uncalibrated.joblib,0.3485288619995117
