model,feature_set,parameters,mean_pr_auc,std_pr_auc,mean_roc_auc,mean_brier_score,mean_log_loss,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_macro_f1,mean_weighted_f1
xgboost,airport_aware,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""scale_pos_weight_mode"": ""none""}",0.45480658817616976,0.02721517369706702,0.8854479999431397,0.04322875729312377,0.15849284849020728,0.9463054991152692,0.6293786322947712,0.2803684334369236,0.38770123747193885,0.6797698711231387,0.9364858024874104
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""scale_pos_weight_mode"": ""none""}",0.45480504025447804,0.02724336538217973,0.8853758027524851,0.04319513083249319,0.1584781370215131,0.9466513887592575,0.6369322646223129,0.2810722715394421,0.38984033456852646,0.6809311078136695,0.9368070642484291
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""scale_pos_weight_mode"": ""none""}",0.45479547794620007,0.02419974644094358,0.8861613962599364,0.04323623242996297,0.1575796409481948,0.9463526938345922,0.6273264086083041,0.28568888816238125,0.3923872030369397,0.6821196280620938,0.9368072231595999
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 1.0, ""scale_pos_weight_mode"": ""none""}",0.45473721759237085,0.026936429109568217,0.8847640610129673,0.04323312593629828,0.15869487611901562,0.9466562265523845,0.6396876279098364,0.2762850339779811,0.38571331768208306,0.6788748555080529,0.9365565625421437
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""scale_pos_weight_mode"": ""none""}",0.45470419141431523,0.024480081879438068,0.8862242608424923,0.04323022317421615,0.1576288522784342,0.9463270538814019,0.6272473054559842,0.2857962421781119,0.39242748158412455,0.6821324694125546,0.9367897557526931
xgboost,airport_aware,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8, ""scale_pos_weight_mode"": ""none""}",0.454595835930761,0.028294127327060565,0.8853035231130384,0.04323547586484597,0.1584631728763231,0.9463917597303914,0.6297967005509373,0.2820691280698477,0.3894534103631746,0.6806673578340015,0.9366460509901285
xgboost,airport_aware,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 600, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8, ""scale_pos_weight_mode"": ""balanced""}",0.4545717797620751,0.02471628185887874,0.8852490105646886,0.10994943528671564,0.3441059877474913,0.8496121354121771,0.24546943453254083,0.7232953861132423,0.36581766207437727,0.6400315462757866,0.8812934571875332
xgboost,airport_aware,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 1.0, ""scale_pos_weight_mode"": ""none""}",0.45456136344660847,0.02503376931327194,0.8849894133601539,0.043279871292952396,0.15837833607574264,0.9463908400388412,0.6272520383914927,0.2855847644420248,0.3923053303996159,0.682089733001197,0.9368360246129399
xgboost,airport_aware,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.08, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 1.0, ""scale_pos_weight_mode"": ""none""}",0.4545459297303457,0.02336969740386327,0.8852775277125084,0.043381805802846764,0.15805560966328716,0.9462958005415765,0.6211686764356271,0.2992318016652607,0.40378019418723465,0.6877862148004185,0.9373777495158997
xgboost,airport_aware,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 1.0, ""scale_pos_weight_mode"": ""none""}",0.45454342094585554,0.025965500746348385,0.8852767323502576,0.04325362272121673,0.15834321314952274,0.9463298992582854,0.625757154509875,0.286602931693306,0.39293038581974876,0.6823852433762536,0.936820532238479
