model,feature_set,parameters,pr_auc,roc_auc,brier_score,log_loss
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 600, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8}",0.4043692058292785,0.8908415748340809,0.10139987744018243,0.32515892036608096
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8}",0.40422675875685554,0.8909470422816499,0.1011370100817638,0.3246775980892172
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8}",0.40400724256871756,0.8907424427411239,0.10133786687240971,0.32500612839580567
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8}",0.4039761106919488,0.8907383763274661,0.10128835732962084,0.3250997435490517
random_forest,airport_aware,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2}",0.40364731657993114,0.8901306242861972,0.0652442892551877,0.22772107226455937
random_forest,extended_geographic,"{""model__max_depth"": 20, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2}",0.40292852856360695,0.8909534483564995,0.07279142503874142,0.2521696521342472
random_forest,airport_aware,"{""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 10}",0.4020370591886392,0.8860553293450891,0.06816395639288632,0.2309565230079544
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 600, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8}",0.4018826776266148,0.8907185039407203,0.10248502598535662,0.3283848427791977
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8}",0.4017650255756965,0.890675724090368,0.102517148434573,0.3284819734871934
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8}",0.40142843064356915,0.8904918986196163,0.10243246258374428,0.3282414791231889
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 600, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8}",0.40107081214091195,0.8906104846712471,0.10258588463294244,0.3285206413195893
random_forest,extended_geographic,"{""model__max_depth"": 20, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 10}",0.40046323312454335,0.888359559697687,0.071901963314711,0.24364055547800453
random_forest,airport_aware,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10}",0.39878978422840894,0.8913864801575986,0.10220935256143047,0.32509946548810936
random_forest,extended_geographic,"{""model__max_depth"": 12, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2}",0.39831092918778105,0.8894111637363973,0.10496286514407407,0.33445952081999386
random_forest,extended_geographic,"{""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 10}",0.39768873591316733,0.8860161621202041,0.06859864672436053,0.23338112443298759
random_forest,extended_geographic,"{""model__max_depth"": 12, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2}",0.3964673245939468,0.8914592866421351,0.08468691481193229,0.2830274016788104
random_forest,airport_aware,"{""model__max_depth"": 12, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2}",0.3940695816584301,0.8917321135318177,0.08497446339769668,0.2847512864140208
random_forest,extended_geographic,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2}",0.39402536755697426,0.8871503615029956,0.0555187875872176,0.19734025799429716
random_forest,extended_geographic,"{""model__max_depth"": 12, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10}",0.3931550178520188,0.8895379651222876,0.10982183896803674,0.34633719415715514
random_forest,airport_aware,"{""model__max_depth"": 20, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10}",0.3922448152150287,0.8897465073160558,0.11049989637998035,0.347468979880146
random_forest,airport_aware,"{""model__max_depth"": 20, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2}",0.38975247571467275,0.882685904881469,0.05951773608650275,0.21060525387201914
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8}",0.3888823291128213,0.8869591221940096,0.10783695968671951,0.34283210470201625
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8}",0.3888454079681462,0.8871299056742902,0.1079461679707517,0.34312206747333646
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8}",0.3887797522330047,0.887018421113178,0.10765852910403224,0.3424393551038417
xgboost,airport_aware,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8}",0.388282796285571,0.8871371662853431,0.10768638995992637,0.34253180634004277
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.8}",0.38682572810426474,0.8869297261486098,0.10713093344237391,0.34127875410032527
xgboost,extended_geographic,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8}",0.38627463925461597,0.8868792672591325,0.10721942075870533,0.3413985909421083
