INDEX_NR,INCIDENT_YEAR,observed_severity,observed_severity_code,xgboost__extended_geographic__prob_M,xgboost__extended_geographic__prob_M?,xgboost__extended_geographic__prob_S+D,xgboost__airport_aware__prob_M,xgboost__airport_aware__prob_M?,xgboost__airport_aware__prob_S+D,random_forest__airport_aware__prob_M,random_forest__airport_aware__prob_M?,random_forest__airport_aware__prob_S+D,random_forest__extended_geographic__prob_M,random_forest__extended_geographic__prob_M?,random_forest__extended_geographic__prob_S+D,logistic__airport_aware__prob_M,logistic__airport_aware__prob_M?,logistic__airport_aware__prob_S+D,logistic__extended_geographic__prob_M,logistic__extended_geographic__prob_M?,logistic__extended_geographic__prob_S+D
1216382,2021,M?,1,0.31629384,0.4864766,0.19722949,0.355701,0.40242603,0.24187294,0.3148506124776934,0.4462809958780017,0.2388683916443048,0.3194690922286375,0.45461767235579936,0.22591323541556252,0.35799779667509396,0.4195030162036043,0.22249918712130168,0.3309607452673637,0.4490374268986581,0.22000182783397815
1216419,2021,M?,1,0.35378033,0.49382505,0.15239464,0.32710952,0.5088629,0.16402756,0.370189668448759,0.4424733886273362,0.1873369429239053,0.3692678625656125,0.4477105902514627,0.18302154718292432,0.29132982719847783,0.5565650115868708,0.15210516121465137,0.2842591665024901,0.5793699238205617,0.1363709096769482
1216451,2021,M?,1,0.2855613,0.5260798,0.18835892,0.28620946,0.51680607,0.19698448,0.3337335237456853,0.45991505998871174,0.20635141626560324,0.3239015148435253,0.46883268793510074,0.2072657972213735,0.2648688808812238,0.5736471884648069,0.1614839306539693,0.2630169267383264,0.5850665790852357,0.1519164941764378
1216517,2021,S+D,2,0.23572817,0.410354,0.3539178,0.29227966,0.3802818,0.32743856,0.3119028821691439,0.3493077412232672,0.3387893766075892,0.2976623674332605,0.34171393928641725,0.3606236932803227,0.24091905170089226,0.2656261020594633,0.4934548462396446,0.27365510592536535,0.25411974955393635,0.47222514452069836
1216543,2021,M,0,0.21665344,0.27457476,0.5087718,0.2652686,0.34030646,0.39442497,0.29252101406710446,0.3263357548426105,0.38114323109028536,0.29351914506476107,0.3283822418958441,0.3780986130393947,0.30310313960798835,0.3057362069797593,0.3911606534122524,0.2580513204399228,0.25839523270561365,0.4835534468544635
1216550,2021,M?,1,0.24412386,0.26953247,0.4863436,0.26251844,0.26564965,0.47183186,0.29173865402766347,0.23661745318032099,0.47164389279201563,0.29282563178127935,0.23556156790705876,0.4716128003116617,0.23577659730338174,0.23592333339174143,0.5283000693048768,0.24389466197220602,0.22194986172384673,0.5341554763039472
1216553,2021,M?,1,0.3681768,0.32599315,0.30583003,0.36451176,0.3404078,0.29508042,0.35541119714920233,0.30477646849506757,0.33981233435572955,0.3727222916175804,0.30113158789756606,0.32614612048485364,0.3922565130557179,0.3268334044705427,0.28091008247373933,0.3883060083885267,0.3278187438181136,0.2838752477933597
1216608,2019,M?,1,0.23884113,0.24243262,0.5187262,0.22838588,0.3191458,0.45246828,0.2712337593966574,0.27540852139816907,0.4533577192051733,0.28266123234913687,0.2569643864010475,0.4603743812498154,0.21191067632360785,0.3103455557430771,0.4777437679333152,0.19742457440093888,0.3326425203101299,0.46993290528893117
1216624,2021,M?,1,0.24305218,0.4427669,0.31418094,0.2556916,0.41884947,0.3254589,0.2877829031643189,0.3923285141100216,0.31988858272565895,0.28013547801219607,0.3757774521786598,0.34408706980914394,0.23308357694477438,0.4304358893079364,0.33648053374728915,0.18777189446871956,0.4773773915687739,0.33485071396250654
1216625,2021,M?,1,0.33092487,0.28989536,0.37917978,0.2738009,0.28890395,0.43729514,0.33595726402883025,0.3008208859403893,0.3632218500307803,0.3469321781507102,0.28337975151454975,0.3696880703347396,0.18900252030392006,0.2382934714670626,0.5727040082290173,0.18944547571534603,0.2383444051976572,0.5722101190869968
