AIRPORT_ID,AIRPORT,Reported_Strikes,Damage_Records,No_Damage_Records,Damage_Rate_Pct,Damage_Rate_CI95_Lower,Damage_Rate_CI95_Upper
KPHN,ST CLAIR COUNTY INTL ARPT,13,3,10,23.076923076923077,8.179379092465714,50.256873995126924
CYEG,EDMONTON INTL,13,2,11,15.384615384615385,4.325726318273798,42.23517050863101
KBID,BLOCK ISLAND STATE,13,2,11,15.384615384615385,4.325726318273798,42.23517050863101
KSSF,STINSON MUNICIPAL ARPT,13,7,6,53.84615384615385,29.14343243183205,76.79424569851186
KVNC,VENICE MUNICIPAL AIRPORT,13,3,10,23.076923076923077,8.179379092465714,50.256873995126924
KSHD,SHENANDOAH VALLEY,13,1,12,7.6923076923076925,1.3710066379696322,33.31453392824736
KSFF,FELTS FIELD ARPT,13,1,12,7.6923076923076925,1.3710066379696322,33.31453392824736
KEEN,DILLANT-HOPKINS ARPT,13,6,7,46.15384615384615,23.205754301488142,70.85656756816796
KASW,WARSAW MUNICIPAL (IN),13,3,10,23.076923076923077,8.179379092465714,50.256873995126924
EDDM,MUNICH INTL ARPT,13,2,11,15.384615384615385,4.325726318273798,42.23517050863101
KHUT,HUTCHINSON MUNICIPAL,12,3,9,25.0,8.894003962896138,53.231033912065996
KHEG,HERLONG RECREATIONAL ARPT,12,1,11,8.333333333333332,1.4864709450773477,35.38859217985952
KHIB,RANGE REGIONAL ARPT,12,2,10,16.666666666666664,4.696414761482223,44.80363573846727
YSSY,SYDNEY INTL ARPT,12,5,7,41.66666666666667,19.325746190524658,68.04926643446272
KHOT,MEMORIAL FIELD,12,4,8,33.33333333333333,13.811783989736135,60.9382412602386
SVMC,LA CHINITA INTL,12,2,10,16.666666666666664,4.696414761482223,44.80363573846727
KVLL,OAKLAND/TROY ARPT,12,5,7,41.66666666666667,19.325746190524658,68.04926643446272
KBEH,SOUTHWEST MICHIGAN REGIONAL,12,5,7,41.66666666666667,19.325746190524658,68.04926643446272
KMRB,EASTERN WEST VIRGINIA REGIONAL ARPT,12,2,10,16.666666666666664,4.696414761482223,44.80363573846727
LGAV,ELEFTHERIOS VENIZELOS INTL,12,2,10,16.666666666666664,4.696414761482223,44.80363573846727
KLAR,LARAMIE REGIONAL,12,0,12,0.0,0.0,24.25007574992425
KCEC,JACK MCNAMARA FIELD ARPT,12,1,11,8.333333333333332,1.4864709450773477,35.38859217985952
KSPS,SHEPPARD AFB/WICHITA FALLS MUNI ARPT,12,1,11,8.333333333333332,1.4864709450773477,35.38859217985952
KMGY,DAYTON-WRIGHT BROTHERS ARPT,12,3,9,25.0,8.894003962896138,53.231033912065996
KFFC,ATLANTA REGIONAL ARPT - FALCON FIELD,12,5,7,41.66666666666667,19.325746190524658,68.04926643446272
KPYM,PLYMOUTH MUNICIPAL ARPT (MA),12,3,9,25.0,8.894003962896138,53.231033912065996
PASC,DEADHORSE ARPT,12,0,12,0.0,0.0,24.25007574992425
KMER,CASTLE ARPT,12,2,10,16.666666666666664,4.696414761482223,44.80363573846727
KRCM,SKYHAVEN,12,2,10,16.666666666666664,4.696414761482223,44.80363573846727
RPLL,MANILA-NINOY AQUINO INTL,12,0,12,0.0,0.0,24.25007574992425
KMKY,MARCO ISLAND ARPT,12,5,7,41.66666666666667,19.325746190524658,68.04926643446272
