SPECIES,Reported_Strikes,Damage_Records,No_Damage_Records,Damage_Rate_Pct,Damage_Rate_CI95_Lower,Damage_Rate_CI95_Upper
Red-necked phalarope,23,3,20,13.043478260869565,4.5375765143447016,32.12789797301819
Green-tailed towhee,22,2,20,9.090909090909092,2.529489628283779,27.81538065838578
Orchard oriole,21,0,21,0.0,0.0,15.464382326420195
White-eyed vireo,21,0,21,0.0,0.0,15.464382326420195
Redpoll,20,0,20,0.0,0.0,16.113012549493323
Red-throated loon,20,9,11,45.0,25.819502085709296,65.79179916924002
Budgerigar,20,0,20,0.0,0.0,16.113012549493323
Kentucky warbler,20,0,20,0.0,0.0,16.113012549493323
Belted kingfisher,20,0,20,0.0,0.0,16.113012549493323
Philadelphia vireo,20,1,19,5.0,0.8881219432873135,23.613589351256675
Blue grosbeak,19,1,18,5.263157894736842,0.9351752490529969,24.63921533654521
Eastern whip-poor-will,19,0,19,0.0,0.0,16.818436536845052
Black-billed cuckoo,19,1,18,5.263157894736842,0.9351752490529969,24.63921533654521
